MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 0, command : 16, current : 1, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.230476, y : 29.010183, z : 99.088231}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 22, current : 0, autocontinue : 1, param1 : 10.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2310448, y : 29.0101612, z : 5.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2320195, y : 29.0100861, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2328058, y : 29.0095711, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2331007, y : 29.0085411, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2330351, y : 29.0075541, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2326911, y : 29.0065026, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2324546, y : 29.0064946, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2323364, y : 29.0064906, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2322181, y : 29.0064866, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2320999, y : 29.0064826, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2319816, y : 29.0064786, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2318634, y : 29.0064746, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2318043, y : 29.0064726, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2317451, y : 29.0064705, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.231686, y : 29.0064685, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2316269, y : 29.0064665, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2315678, y : 29.0064645, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2315086, y : 29.0064625, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2314495, y : 29.0064605, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2313904, y : 29.0064585, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2313335, y : 29.0064564, z : 10.0}
